"V1"	"V2"	"V3"	"V4"
"100"	"patient.drugs.drug.12.regimen_indication"	"1"	"NA ,progression ,"
"102"	"patient.drugs.drug.12.regimen_number"	"1"	"2 ,NA ,"
"103"	"patient.drugs.drug.12.route_of_administrations.route_of_administration"	"1"	"intravenous (iv) ,NA ,"
"104"	"patient.drugs.drug.12.therapy_ongoing"	"1"	"NA ,no ,"
"105"	"patient.drugs.drug.12.therapy_types.therapy_type"	"1"	"chemotherapy ,NA ,"
"108"	"patient.drugs.drug.12.total_dose_units"	"1"	"mg ,NA ,"
"110"	"patient.drugs.drug.12.year_of_form_completion"	"1"	"2010 ,NA ,"
"111"	"patient.drugs.drug.13.bcr_drug_barcode"	"1"	"NA ,tcga-af-2689-d3309 ,"
"112"	"patient.drugs.drug.13.bcr_drug_uuid"	"1"	"7eefebc0-11fd-4028-87c6-cab921f47ab3 ,NA ,"
"114"	"patient.drugs.drug.13.day_of_form_completion"	"1"	"12 ,NA ,"
"115"	"patient.drugs.drug.13.days_to_drug_therapy_end"	"1"	"559 ,NA ,"
"116"	"patient.drugs.drug.13.days_to_drug_therapy_start"	"1"	"462 ,NA ,"
"117"	"patient.drugs.drug.13.drug_name"	"1"	"avastin ,NA ,"
"119"	"patient.drugs.drug.13.month_of_form_completion"	"1"	"11 ,NA ,"
"121"	"patient.drugs.drug.13.prescribed_dose"	"1"	"500-515 ,NA ,"
"122"	"patient.drugs.drug.13.prescribed_dose_units"	"1"	"mg ,NA ,"
"123"	"patient.drugs.drug.13.regimen_indication"	"1"	"NA ,progression ,"
"125"	"patient.drugs.drug.13.regimen_number"	"1"	"2 ,NA ,"
"126"	"patient.drugs.drug.13.route_of_administrations.route_of_administration"	"1"	"intravenous (iv) ,NA ,"
"127"	"patient.drugs.drug.13.therapy_ongoing"	"1"	"NA ,no ,"
"128"	"patient.drugs.drug.13.therapy_types.therapy_type"	"1"	"NA ,targeted molecular therapy ,"
"131"	"patient.drugs.drug.13.total_dose_units"	"1"	"mg ,NA ,"
"133"	"patient.drugs.drug.13.year_of_form_completion"	"1"	"2010 ,NA ,"
"134"	"patient.drugs.drug.14.bcr_drug_barcode"	"1"	"NA ,tcga-af-2689-d4053 ,"
"135"	"patient.drugs.drug.14.bcr_drug_uuid"	"1"	"62a137f0-ba1f-4bfa-a6cc-cfe749a79ca4 ,NA ,"
"137"	"patient.drugs.drug.14.day_of_form_completion"	"1"	"24 ,NA ,"
"138"	"patient.drugs.drug.14.days_to_drug_therapy_end"	"1"	"559 ,NA ,"
"139"	"patient.drugs.drug.14.days_to_drug_therapy_start"	"1"	"379 ,NA ,"
"140"	"patient.drugs.drug.14.drug_name"	"1"	"leucovorin ,NA ,"
"142"	"patient.drugs.drug.14.month_of_form_completion"	"1"	"11 ,NA ,"
"144"	"patient.drugs.drug.14.prescribed_dose"	"1"	"710-760 ,NA ,"
"145"	"patient.drugs.drug.14.prescribed_dose_units"	"1"	"mg ,NA ,"
"146"	"patient.drugs.drug.14.regimen_indication"	"1"	"NA ,progression ,"
"148"	"patient.drugs.drug.14.regimen_number"	"1"	"2 ,NA ,"
"149"	"patient.drugs.drug.14.route_of_administrations.route_of_administration"	"1"	"intravenous (iv) ,NA ,"
"150"	"patient.drugs.drug.14.therapy_ongoing"	"1"	"NA ,no ,"
"151"	"patient.drugs.drug.14.therapy_types.therapy_type"	"1"	"NA ,other, specify ,"
"152"	"patient.drugs.drug.14.therapy_types.therapy_type_notes"	"1"	"ancillary ,NA ,"
"154"	"patient.drugs.drug.14.total_dose_units"	"1"	"mg ,NA ,"
"156"	"patient.drugs.drug.14.year_of_form_completion"	"1"	"2010 ,NA ,"
"159"	"patient.drugs.drug.2.clinical_trail_drug_classification"	"1"	"n/a ,NA ,"
"163"	"patient.drugs.drug.2.drug_name"	"0.20039980009995"	"5-fluorouracil ,5fu ,bevacizumab ,capecitabine ,fluorouracil ,folinic acid ,leucovorin ,NA ,oxaliplatin ,xeloda ,"
"164"	"patient.drugs.drug.2.measure_of_response"	"1"	"clinical progressive disease ,complete response ,NA ,partial response ,stable disease ,"
"165"	"patient.drugs.drug.2.month_of_form_completion"	"1"	"11 ,12 ,2 ,4 ,5 ,6 ,7 ,8 ,9 ,NA ,"
"166"	"patient.drugs.drug.2.number_cycles"	"0.0359820089955022"	"11 ,12 ,17 ,3 ,8 ,9 ,NA ,"
"168"	"patient.drugs.drug.2.prescribed_dose_units"	"1"	"mg ,mg/m2 ,NA ,"
"169"	"patient.drugs.drug.2.regimen_indication"	"0.0409795102448776"	"adjuvant ,NA ,palliative ,progression ,"
"171"	"patient.drugs.drug.2.regimen_number"	"0.103948025987006"	"1 ,2 ,NA ,"
"172"	"patient.drugs.drug.2.route_of_administrations.route_of_administration"	"0.44727636181909"	"intravenous (iv) ,NA ,oral ,"
"173"	"patient.drugs.drug.2.therapy_ongoing"	"0.372813593203398"	"NA ,no ,yes ,"
"174"	"patient.drugs.drug.2.therapy_types.therapy_type"	"0.408795602198901"	"ancillary ,chemotherapy ,NA ,other, specify ,targeted molecular therapy ,"
"175"	"patient.drugs.drug.2.therapy_types.therapy_type_notes"	"1"	"ancillary ,ancillary agent ,NA ,"
"177"	"patient.drugs.drug.2.total_dose_units"	"0.396554671997684"	"mg ,NA ,"
"178"	"patient.drugs.drug.2.tx_on_clinical_trial"	"1"	"NA ,no ,"
"179"	"patient.drugs.drug.2.year_of_form_completion"	"1"	"2010 ,2011 ,2012 ,2013 ,NA ,"
"182"	"patient.drugs.drug.3.clinical_trail_drug_classification"	"1"	"n/a ,NA ,"
"186"	"patient.drugs.drug.3.drug_name"	"0.131934032983508"	"5fu ,bevacizumab ,fluorouracil ,irinotecan ,leucovorin ,leucovorin calcium ,NA ,oxaliplatin ,"
"187"	"patient.drugs.drug.3.measure_of_response"	"1"	"clinical progressive disease ,complete response ,NA ,partial response ,stable disease ,"
"188"	"patient.drugs.drug.3.month_of_form_completion"	"1"	"11 ,12 ,2 ,4 ,5 ,6 ,7 ,8 ,9 ,NA ,"
"189"	"patient.drugs.drug.3.number_cycles"	"1"	"11 ,12 ,17 ,3 ,8 ,9 ,NA ,"
"191"	"patient.drugs.drug.3.prescribed_dose_units"	"1"	"mg ,mg/m2 ,NA ,"
"192"	"patient.drugs.drug.3.regimen_indication"	"0.0259870064967516"	"adjuvant ,NA ,palliative ,progression ,"
"194"	"patient.drugs.drug.3.regimen_number"	"0.0829585207396302"	"1 ,2 ,NA ,"
"195"	"patient.drugs.drug.3.route_of_administrations.route_of_administration"	"0.396554671997684"	"intravenous (iv) ,NA ,"
"196"	"patient.drugs.drug.3.therapy_ongoing"	"0.247376311844078"	"NA ,no ,yes ,"
"197"	"patient.drugs.drug.3.therapy_types.therapy_type"	"0.237381309345327"	"chemotherapy ,NA ,other, specify ,targeted molecular therapy ,"
"198"	"patient.drugs.drug.3.therapy_types.therapy_type_notes"	"0.0614692653673163"	"ancillary ,leucovorin ,NA ,"
"200"	"patient.drugs.drug.3.total_dose_units"	"0.396554671997684"	"mg ,NA ,"
"201"	"patient.drugs.drug.3.tx_on_clinical_trial"	"1"	"NA ,no ,"
"202"	"patient.drugs.drug.3.year_of_form_completion"	"1"	"2010 ,2011 ,2012 ,2013 ,NA ,"
"205"	"patient.drugs.drug.4.clinical_trail_drug_classification"	"1"	"n/a ,NA ,"
"209"	"patient.drugs.drug.4.drug_name"	"1"	"5 fu ,5-fu ,5fu ,bevacizumab ,fluorouracil ,folinic acid ,leucovorin calcium ,NA ,oxaliplatin ,"
"210"	"patient.drugs.drug.4.measure_of_response"	"1"	"clinical progressive disease ,complete response ,NA ,partial response ,stable disease ,"
"211"	"patient.drugs.drug.4.month_of_form_completion"	"1"	"11 ,12 ,2 ,4 ,5 ,6 ,7 ,8 ,9 ,NA ,"
"212"	"patient.drugs.drug.4.number_cycles"	"1"	"11 ,12 ,17 ,3 ,8 ,9 ,NA ,"
"214"	"patient.drugs.drug.4.prescribed_dose_units"	"0.322348820772053"	"mg ,NA ,"
"215"	"patient.drugs.drug.4.regimen_indication"	"0.319340329835082"	"adjuvant ,NA ,palliative ,"
"217"	"patient.drugs.drug.4.regimen_number"	"0.331334332833583"	"1 ,2 ,NA ,"
"218"	"patient.drugs.drug.4.route_of_administrations.route_of_administration"	"0.322348820772053"	"intravenous (iv) ,NA ,"
"219"	"patient.drugs.drug.4.therapy_ongoing"	"0.396554671997684"	"NA ,no ,"
"220"	"patient.drugs.drug.4.therapy_types.therapy_type"	"0.391304347826087"	"chemotherapy ,NA ,other, specify ,targeted molecular therapy ,"
"221"	"patient.drugs.drug.4.therapy_types.therapy_type_notes"	"1"	"ancillary ,NA ,"
"223"	"patient.drugs.drug.4.total_dose_units"	"0.322348820772053"	"mg ,NA ,"
"224"	"patient.drugs.drug.4.tx_on_clinical_trial"	"1"	"NA ,no ,"
"225"	"patient.drugs.drug.4.year_of_form_completion"	"1"	"2010 ,2011 ,2012 ,2013 ,NA ,"
"226"	"patient.drugs.drug.5.bcr_drug_barcode"	"1"	"NA ,tcga-af-2687-d7476 ,tcga-af-2689-d3001 ,tcga-af-3911-d13456 ,tcga-af-3914-d10888 ,tcga-af-6136-d31525 ,tcga-ag-3584-d37623 ,tcga-ag-a02g-d37686 ,tcga-dc-6156-d21979 ,"
"227"	"patient.drugs.drug.5.bcr_drug_uuid"	"1"	"0d0a7050-6694-40d7-8087-f5ea54967092 ,2dcea1e6-7d2f-46e0-9d15-4069c8ffc067 ,6b518daa-0328-44a6-902e-ed9122718f0d ,6dd36a05-450e-45a0-b0c5-579a3b63651b ,93f15563-e1f4-4df9-98fe-2c058fa1aef0 ,9f639bf0-67cc-4ca3-a738-c7f03a214b21 ,d409689c-b0f7-406a-bb0d-f9f1dc4b774f ,e005c38c-40ff-4493-815b-770c79d550ad ,NA ,"
"228"	"patient.drugs.drug.5.clinical_trail_drug_classification"	"1"	"n/a ,NA ,"
"229"	"patient.drugs.drug.5.day_of_form_completion"	"1"	"11 ,18 ,22 ,28 ,5 ,9 ,NA ,"
"230"	"patient.drugs.drug.5.days_to_drug_therapy_end"	"1"	"106 ,1096 ,117 ,261 ,269 ,296 ,396 ,NA ,"
"231"	"patient.drugs.drug.5.days_to_drug_therapy_start"	"1"	"117 ,133 ,335 ,365 ,68 ,85 ,851 ,NA ,"
"232"	"patient.drugs.drug.5.drug_name"	"1"	"5 fu ,5-fluorouracil ,5fu ,fluorouracil ,irinotecan hcl ,NA ,oxaliplatin ,"
"233"	"patient.drugs.drug.5.measure_of_response"	"1"	"clinical progressive disease ,NA ,partial response ,"
"234"	"patient.drugs.drug.5.month_of_form_completion"	"1"	"11 ,12 ,2 ,4 ,5 ,7 ,NA ,"
"235"	"patient.drugs.drug.5.number_cycles"	"1"	"12 ,6 ,8 ,9 ,NA ,"
"236"	"patient.drugs.drug.5.prescribed_dose"	"1"	"3330-4416 ,3480-3648 ,3629-4104 ,380 ,468-477 mg daily x 5 days monday- friday during radiation therapy ,NA ,"
"237"	"patient.drugs.drug.5.prescribed_dose_units"	"1"	"mg ,NA ,"
"238"	"patient.drugs.drug.5.regimen_indication"	"1"	"adjuvant ,NA ,palliative ,"
"240"	"patient.drugs.drug.5.regimen_number"	"1"	"1 ,2 ,NA ,"
"241"	"patient.drugs.drug.5.route_of_administrations.route_of_administration"	"1"	"intravenous (iv) ,NA ,"
"242"	"patient.drugs.drug.5.therapy_ongoing"	"1"	"NA ,no ,yes ,"
"243"	"patient.drugs.drug.5.therapy_types.therapy_type"	"1"	"chemotherapy ,NA ,"
"245"	"patient.drugs.drug.5.total_dose"	"1"	"13271 ,2800 ,34193 ,42192 ,47,508 ,NA ,"
"246"	"patient.drugs.drug.5.total_dose_units"	"1"	"mg ,NA ,"
"247"	"patient.drugs.drug.5.tx_on_clinical_trial"	"1"	"NA ,no ,"
"248"	"patient.drugs.drug.5.year_of_form_completion"	"1"	"2010 ,2011 ,2012 ,NA ,"
"249"	"patient.drugs.drug.6.bcr_drug_barcode"	"1"	"NA ,tcga-af-2689-d3007 ,tcga-af-3914-d41485 ,tcga-ag-3584-d37624 ,tcga-dc-6156-d21980 ,"
"250"	"patient.drugs.drug.6.bcr_drug_uuid"	"1"	"54129ecf-0125-45a8-8506-eb8248500ae8 ,5c31b440-ed68-435c-89c1-337c2c1b9498 ,ac84d228-12be-44da-a004-f09c1b574f03 ,bf52814b-2808-468b-9ae6-49608c492c80 ,NA ,"
"251"	"patient.drugs.drug.6.clinical_trail_drug_classification"	"1"	"n/a ,NA ,"
"252"	"patient.drugs.drug.6.day_of_form_completion"	"1"	"19 ,22 ,5 ,NA ,"
"253"	"patient.drugs.drug.6.days_to_drug_therapy_end"	"1"	"1134 ,344 ,396 ,NA ,"
"254"	"patient.drugs.drug.6.days_to_drug_therapy_start"	"1"	"316 ,335 ,395 ,924 ,NA ,"
"255"	"patient.drugs.drug.6.drug_name"	"1"	"aflibercept/ placebo study ,bevacizumab ,NA ,oxaliplatin ,"
"256"	"patient.drugs.drug.6.measure_of_response"	"1"	"clinical progressive disease ,NA ,"
"257"	"patient.drugs.drug.6.month_of_form_completion"	"1"	"11 ,12 ,2 ,3 ,NA ,"
"258"	"patient.drugs.drug.6.number_cycles"	"1"	"3 ,6 ,NA ,"
"259"	"patient.drugs.drug.6.prescribed_dose"	"1"	"175-180 ,480 ,NA ,"
"260"	"patient.drugs.drug.6.prescribed_dose_units"	"1"	"mg ,NA ,"
"261"	"patient.drugs.drug.6.regimen_indication"	"1"	"NA ,palliative ,progression ,"
"263"	"patient.drugs.drug.6.regimen_number"	"1"	"1 ,2 ,NA ,"
"264"	"patient.drugs.drug.6.route_of_administrations.route_of_administration"	"1"	"intravenous (iv) ,NA ,"
"265"	"patient.drugs.drug.6.therapy_ongoing"	"1"	"NA ,no ,yes ,"
"266"	"patient.drugs.drug.6.therapy_types.therapy_type"	"1"	"chemotherapy ,immunotherapy ,NA ,other, specify ,targeted molecular therapy ,"
"267"	"patient.drugs.drug.6.therapy_types.therapy_type_notes"	"1"	"NA ,velour 10262 study- aflibercept/placebo (4mg/kg) every 2 weeks with irinotecan/5fu combination (folfiri) ,"
"268"	"patient.drugs.drug.6.total_dose"	"1"	"2880 ,537 ,NA ,"
"269"	"patient.drugs.drug.6.total_dose_units"	"1"	"mg ,NA ,"
"270"	"patient.drugs.drug.6.tx_on_clinical_trial"	"1"	"NA ,no ,"
"271"	"patient.drugs.drug.6.year_of_form_completion"	"1"	"2010 ,2012 ,2013 ,NA ,"
"272"	"patient.drugs.drug.7.bcr_drug_barcode"	"1"	"NA ,tcga-af-2689-d3024 ,tcga-af-3914-d41486 ,tcga-ag-3584-d37625 ,tcga-dc-6156-d29373 ,"
"273"	"patient.drugs.drug.7.bcr_drug_uuid"	"1"	"7924ad55-eb1c-47f3-a2b5-aefe07edff8d ,9bf0b463-f451-4bb4-bb19-1675656ae60f ,c91698e7-82fd-4fd9-b3c7-50e589a064f5 ,e843e98b-59be-4d00-b606-7eaf5e9d9ac7 ,NA ,"
"274"	"patient.drugs.drug.7.clinical_trail_drug_classification"	"1"	"n/a ,NA ,"
"275"	"patient.drugs.drug.7.day_of_form_completion"	"1"	"16 ,19 ,5 ,NA ,"
"276"	"patient.drugs.drug.7.days_to_drug_therapy_end"	"1"	"1022 ,344 ,580 ,NA ,"
"277"	"patient.drugs.drug.7.days_to_drug_therapy_start"	"1"	"316 ,365 ,427 ,924 ,NA ,"
"278"	"patient.drugs.drug.7.drug_name"	"1"	"fluorouracil ,irinotecan ,leucovorin ,NA ,"
"279"	"patient.drugs.drug.7.measure_of_response"	"1"	"clinical progressive disease ,NA ,stable disease ,"
"280"	"patient.drugs.drug.7.month_of_form_completion"	"1"	"11 ,12 ,3 ,NA ,"
"281"	"patient.drugs.drug.7.number_cycles"	"1"	"3 ,8 ,NA ,"
"282"	"patient.drugs.drug.7.prescribed_dose"	"1"	"256-259 ,800 ,NA ,"
"283"	"patient.drugs.drug.7.prescribed_dose_units"	"1"	"mg ,NA ,"
"284"	"patient.drugs.drug.7.regimen_indication"	"1"	"NA ,palliative ,progression ,"
"286"	"patient.drugs.drug.7.regimen_number"	"1"	"1 ,2 ,NA ,"
"287"	"patient.drugs.drug.7.route_of_administrations.route_of_administration"	"1"	"intravenous (iv) ,NA ,"
"288"	"patient.drugs.drug.7.therapy_ongoing"	"1"	"NA ,no ,yes ,"
"289"	"patient.drugs.drug.7.therapy_types.therapy_type"	"1"	"ancillary ,chemotherapy ,NA ,"
"290"	"patient.drugs.drug.7.therapy_types.therapy_type.2"	"1"	"NA ,other, specify ,"
"291"	"patient.drugs.drug.7.therapy_types.therapy_type_notes"	"1"	"NA ,velour 10262 study- aflibercept/placebo (4mg/kg) every 2 weeks with irinotecan/5fu combination (folfiri) ,"
"292"	"patient.drugs.drug.7.total_dose"	"1"	"5920 ,772 ,NA ,"
"293"	"patient.drugs.drug.7.total_dose_units"	"1"	"mg ,NA ,"
"294"	"patient.drugs.drug.7.tx_on_clinical_trial"	"1"	"NA ,no ,"
"295"	"patient.drugs.drug.7.year_of_form_completion"	"1"	"2010 ,2012 ,2013 ,NA ,"
"296"	"patient.drugs.drug.8.bcr_drug_barcode"	"1"	"NA ,tcga-af-2689-d3028 ,tcga-af-3914-d41487 ,tcga-ag-3584-d37626 ,tcga-dc-6156-d29374 ,"
"297"	"patient.drugs.drug.8.bcr_drug_uuid"	"1"	"4d891da7-ccc2-4b3e-b531-0bbd6385e6a6 ,7f381f5c-41ad-4c61-974f-48b497aa77d4 ,db0f22aa-0122-4c85-9e00-07a45715a0b0 ,f4c74905-0f74-43ef-993d-bf84e70f61c1 ,NA ,"
"298"	"patient.drugs.drug.8.clinical_trail_drug_classification"	"1"	"n/a ,NA ,"
"299"	"patient.drugs.drug.8.day_of_form_completion"	"1"	"16 ,19 ,5 ,NA ,"
"300"	"patient.drugs.drug.8.days_to_drug_therapy_end"	"1"	"1022 ,344 ,580 ,NA ,"
"301"	"patient.drugs.drug.8.days_to_drug_therapy_start"	"1"	"316 ,365 ,427 ,924 ,NA ,"
"302"	"patient.drugs.drug.8.drug_name"	"1"	"flourouracil ,irinotecan ,leucovorin ,NA ,oxaliplatin ,"
"303"	"patient.drugs.drug.8.measure_of_response"	"1"	"clinical progressive disease ,NA ,stable disease ,"
"304"	"patient.drugs.drug.8.month_of_form_completion"	"1"	"11 ,12 ,3 ,NA ,"
"305"	"patient.drugs.drug.8.number_cycles"	"1"	"3 ,8 ,NA ,"
"306"	"patient.drugs.drug.8.prescribed_dose"	"1"	"320 ,568-576 ,NA ,"
"307"	"patient.drugs.drug.8.prescribed_dose_units"	"1"	"mg ,NA ,"
"308"	"patient.drugs.drug.8.regimen_indication"	"1"	"NA ,palliative ,progression ,"
"310"	"patient.drugs.drug.8.regimen_number"	"1"	"1 ,2 ,NA ,"
"311"	"patient.drugs.drug.8.route_of_administrations.route_of_administration"	"1"	"intravenous (iv) ,NA ,"
"312"	"patient.drugs.drug.8.therapy_ongoing"	"1"	"NA ,no ,yes ,"
"313"	"patient.drugs.drug.8.therapy_types.therapy_type"	"1"	"chemotherapy ,NA ,other, specify ,"
"314"	"patient.drugs.drug.8.therapy_types.therapy_type_notes"	"1"	"NA ,other ancillary-velour 10262 study- aflibercept/placebo (4mg/kg) every 2 weeks with irinotecan/5fu combination (folfiri) ,"
"315"	"patient.drugs.drug.8.total_dose"	"1"	"1716 ,2368 ,NA ,"
"316"	"patient.drugs.drug.8.total_dose_units"	"1"	"mg ,NA ,"
"317"	"patient.drugs.drug.8.tx_on_clinical_trial"	"1"	"NA ,no ,"
"318"	"patient.drugs.drug.8.year_of_form_completion"	"1"	"2010 ,2012 ,2013 ,NA ,"
"319"	"patient.drugs.drug.9.bcr_drug_barcode"	"1"	"NA ,tcga-af-2689-d3029 ,tcga-af-3914-d41488 ,tcga-ag-3584-d37627 ,tcga-dc-6156-d29375 ,"
"320"	"patient.drugs.drug.9.bcr_drug_uuid"	"1"	"1dcab074-5ee4-4818-89bf-d7fdd9de8818 ,b834783e-daac-45ff-9bdc-028eb4a7a879 ,e8158296-a375-4c50-a27d-a7021b3a07d3 ,e946fc49-aeb3-4a51-b943-cda7cc4a7a31 ,NA ,"
"321"	"patient.drugs.drug.9.clinical_trail_drug_classification"	"1"	"n/a ,NA ,"
"322"	"patient.drugs.drug.9.day_of_form_completion"	"1"	"16 ,19 ,5 ,NA ,"
"323"	"patient.drugs.drug.9.days_to_drug_therapy_end"	"1"	"1022 ,344 ,580 ,NA ,"
"324"	"patient.drugs.drug.9.days_to_drug_therapy_start"	"1"	"316 ,365 ,427 ,924 ,NA ,"
"325"	"patient.drugs.drug.9.drug_name"	"1"	"5fu ,fluorouracil ,irinotecan ,leucovorin ,NA ,"
"326"	"patient.drugs.drug.9.measure_of_response"	"1"	"clinical progressive disease ,NA ,stable disease ,"
"327"	"patient.drugs.drug.9.month_of_form_completion"	"1"	"11 ,12 ,3 ,NA ,"
"328"	"patient.drugs.drug.9.number_cycles"	"1"	"3 ,8 ,NA ,"
"329"	"patient.drugs.drug.9.prescribed_dose"	"1"	"100 ,568-576 ,NA ,"
"330"	"patient.drugs.drug.9.prescribed_dose_units"	"1"	"mg ,NA ,"
"331"	"patient.drugs.drug.9.regimen_indication"	"1"	"NA ,palliative ,progression ,"
"333"	"patient.drugs.drug.9.regimen_number"	"1"	"1 ,2 ,NA ,"
"334"	"patient.drugs.drug.9.route_of_administrations.route_of_administration"	"1"	"intravenous (iv) ,NA ,"
"335"	"patient.drugs.drug.9.therapy_ongoing"	"1"	"NA ,no ,yes ,"
"336"	"patient.drugs.drug.9.therapy_types.therapy_type"	"1"	"chemotherapy ,NA ,"
"337"	"patient.drugs.drug.9.therapy_types.therapy_type.2"	"1"	"NA ,other, specify ,"
